title,company,description,salary_min,salary_max
Senior Data Analyst - Commerce,Midi Health," Hybrid, Palo Alto OR San Francisco (Hybrid – 2 days/week in office) Reports to: Director Data Science  Analytics About Midi Health: Midi Health is the fastest-growing virtual clinic focused exclusively on women’s midlife health. We deliver insurance-covered care for women navigating perimenopause, menopause, and other hormone-related health challenges. Our care model combines clinical expertise with technology to improve access, outcomes, and quality of life for millions of women. We’ve raised…",169763.89,169763.89
IT Business & Data Analyst,PAX Labs,"THE COMPANY PAX is a leading global cannabis brand on a mission to enhance people’s lives, delivering well-being through pure products, unique experiences, and an unparalleled passion for the plant. For more than a decade, PAX has provided products that are simple, enjoyable, and trusted by millions. PAX has been recognized for its brand, culture and products by The New York Times’ Wirecutter, TIME, Fast Company, GQ, Gear Patrol, mg Magazine, High Times, and many more. PAX is committed to makin…",95000.0,125000.0
"Data Analyst, Business Intelligence",Doximity,"Doximity is transforming the healthcare industry. Join our mission to help every physician be more productive and provide better care for their patients. As medicine's largest network in the United States, there's an elevated level of responsibility in everything we do. We don't take that responsibility lightly and are committed to building diverse teams with an inclusive culture that can make a direct impact on the healthcare system. One of Doximity's core values is stretching ourselves. Even …",85503.43,85503.43
"Senior Data Analyst, Spending",Chime,"About the role As a Spending Product Analyst, you will have the opportunity to develop, test, launch and scale member banking experience products that build products that make Chime banking the best place to spend, save and invest. Spending XFN organization’s mission is to deliver industry-leading spending products that members want to keep top of wallet. Our spending products help our members spend and manage their money, offering unmatched simplicity, rewards, and tools that bring them financ…",130811.83,130811.83
"Senior Data Analyst, Commercial & Operations",Aurora Innovation,"Who we are Aurora’s mission is to deliver the benefits of self-driving technology safely, quickly, and broadly. The Aurora Driver will create a new era in mobility and logistics, one that will bring a safer, more efficient, and more accessible future to everyone. At Aurora, you will tackle massively complex problems alongside other passionate, intelligent individuals, growing as an expert while expanding your knowledge. For the latest news from Aurora, visit aurora.tech or follow us on LinkedIn…",115000.0,170000.0
"Senior Data Analyst, Workforce Strategy",Aurora Innovation,"Who we are Aurora’s mission is to deliver the benefits of self-driving technology safely, quickly, and broadly. The Aurora Driver will create a new era in mobility and logistics, one that will bring a safer, more efficient, and more accessible future to everyone. At Aurora, you will tackle massively complex problems alongside other passionate, intelligent individuals, growing as an expert while expanding your knowledge. For the latest news from Aurora, visit aurora.tech or follow us on LinkedIn…",115000.0,167000.0
"Sr. Data Analyst, Financial Analytics",Sunrun,"Ever since we started in 2007, Sunrun has been at the forefront of connecting people to the cleanest energy on Earth. It’s why we’ve become the 1 home solar and battery company in America. Today, we’re on a mission to change the way the world interacts with energy, and we’re building a company and brand that puts power at the center of life. And we’re doing it by designing a dynamic culture where employee development, well-being, and safety come first. We’re unlike any other solar company. Our …",110232.0,146976.0
Senior People Systems and Data Analyst,Freenome,"About this opportunity: Freenome is seeking a highly analytical and systems-savvy Senior People Systems and Data Analyst to elevate our People data capabilities and drive insight-led decision-making. This role will own the development of dashboards, analytics, and reporting that provide visibility into workforce trends and inform hiring, retention, engagement, and organizational planning strategies. This individual will transform People data into actionable insights through advanced analytics, …",120275.0,170100.0
"Data Analyst II, Customer Reporting",Spring Health,"Our mission: to eliminate every barrier to mental health. At Spring Health, we’re on a mission to revolutionize mental healthcare by removing every barrier that prevents people from getting the help they need, when they need it. Our clinically validated technology, Precision Mental Healthcare , empowers us to deliver the right care at the right time—whether it’s therapy, coaching, medication, or beyond—tailored to each individual’s needs. We proudly partner with over 450 companies, from startup…",125000.0,142000.0
GTM Data Analyst - Integrated Campaigns,Intercom,"Intercom is the AI Customer Service company on a mission to help businesses provide incredible customer experiences. Our AI agent Fin, the most advanced customer service AI agent on the market, lets businesses deliver always-on, impeccable customer service and ultimately transform their customer experiences for the better. Fin can also be combined with our Helpdesk to become a complete solution called the Intercom Customer Service Suite, which provides AI enhanced support for the more complex o…",153000.0,182750.0
DELTA DENTAL: Senior Data Analyst,Elevated Resources,"* This position is responsible for developing, implementing, and validating utilization and cost models which characterize providers' claims submissions and treatment patterns Additional responsibilities include determining if dentists are meeting the terms of participation in provider networks throughout the Enterprise and gathering and analyzing data from Enterprise repositories for recruitment purposes. * Performs queries, maintains integrity of databases and repositories and collects data t…",129712.05,129712.05
"Data Analyst, Growth - San Francisco",Plaud,"About Plaud Inc. Plaud is building the world's most trusted AI work companion for professionals to elevate productivity and performance through note-taking solutions, loved by over 1,500,000 users worldwide since 2023. With a mission to amplify human intelligence, Plaud is building the next-generation intelligence infrastructure and interfaces to capture, extract, and utilize what you say, hear, see, and think. Plaud Inc. is a Delaware-incorporated, San Francisco-based company pushing the bound…",82341.09,82341.09
"Senior Data Analyst, Trust & Safety",Chime Financial,"About the role As a Trust & Safety Product Analyst, you will have the opportunity to develop, test, launch and scale member banking experience products that build security awareness and adoption, keeping our members and Chime safe. Trust & Safety organization’s mission is to make Chime the most trusted financial partner by safeguarding member assets, ensuring regulatory excellence, and enhancing the tools and processes that protect our community, while delivering a seamless experience that work…",131149.34,131149.34
Senior Data Analyst (market-media domain),"Pyramid Technology Solutions, Inc.","Senior Data Analyst Client is based out of San Francisco, CA, New York, NY, Seattle, WA, or Little Rock, AR Note Remote is also ok if you find the right candidate, he will have to work in the PST time zone Duration:- 12 Months You will: The Senior Data Analyst will work on reporting and analytics initiatives for client customers. This role will work in close collaboration with Customer Success, Product and Engineering teams. The analyst will be responsible for generating insights from Clean Roo…",139436.5,139436.5
Business Intelligence Analyst / Data Analyst (SQL),Waymo,"Waymo is an autonomous driving technology company with the mission to be the world's most trusted driver. Since its start as the Google Self-Driving Car Project in 2009, Waymo has focused on building the Waymo Driver—The World's Most Experienced Driver™—to improve access to mobility while saving thousands of lives now lost to traffic crashes. The Waymo Driver powers Waymo’s fully autonomous ride-hail service and can also be applied to a range of vehicle platforms and product use cases. The Waym…",168000.0,207000.0
"Senior, Data Analyst - Technical Account Management",Walmart,"Position Summary Become the foremost expert on Inscape's ACR data—knowing how it works, where it breaks, and how to adapt it for client needs. You are the bridge between our internal data teams and external clients. Internally, you partner with engineering to understand product rollouts and surface viewership trends. Externally, you are the trusted guide for data licensees and media clients—troubleshooting issues, educating on workflows, and overseeing audience segment creation. You ensure clie…",104000.0,202000.0
"Data Analyst, B2B Commercialization - San Francisco",Plaud,"About Plaud Inc. Plaud is building the world's most trusted AI work companion for professionals to elevate productivity and performance through note-taking solutions, loved by over 1,500,000 users worldwide since 2023. With a mission to amplify human intelligence, Plaud is building the next-generation intelligence infrastructure and interfaces to capture, extract, and utilize what you say, hear, see, and think. Plaud Inc. is a Delaware-incorporated, San Francisco-based company pushing the bound…",89966.98,89966.98
Data Science Analyst,Tatari,"Tatari is on a mission to revolutionize TV advertising. Founded in 2016 to help transform the antiquated world of TV advertising through the intelligent application of AI and machine learning, Tatari helps some of the world’s fastest growing brands including Chime, Calm, Tecovas, Manscaped, Saatva, and Liquid I.V ., reach their customers using linear and streaming TV ads. Our platform combines sophisticated media buying with proprietary analytics to turn TV advertising into an automated, digita…",108284.66,108284.66
Data & Impact Analyst,ECS,"Description SALARY: External Candidates: $33.45 - $33.95/Hour Internal Candidates: $34.45 - $34.95/Hour Based on Longevity SUMMARY OF DUTIES AND RESPONSIBILITIES: Under the supervision of the Director of Housing Services, the Data & Impact Analyst provides database system administration, daily data entry, relevant staff training, and coordinates contract compliance activities within the Housing Department. PRIMARY DUTIES AND RESPONSIBILITIES: 1. Perform contract compliance activities including …",69472.0,70616.0
